Cue,Target_side,Stimulus,Stimulus_X,Stimulus_Y,Cue_X,Cue_Y,Cue2_X,Cue2_Y,correctAns,feedback,Practise_loop.thisRepN,Practise_loop.thisTrialN,Practise_loop.thisN,Practise_loop.thisIndex,Main_loop.thisRepN,Main_loop.thisTrialN,Main_loop.thisN,Main_loop.thisIndex,response.keys,response.corr,response.rt,response.started,response.stopped,feedback_image.started,feedback_image.stopped,text.started,text.stopped,participant,date,expName,psychopyVersion,frameRate,
double,incogruent,Stimuli/incogruent_left.png,0,100,0.0,100.0,0.0,-100.0,left,Stimuli/feedback_inc_left.png,0,0,0,23,,,,,left,1,0.5463605999830179,21.32149030000437,None,21.888090100022964,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
central,incogruent,Stimuli/incogruent_left.png,0,100,0.0,0.0,None,None,left,Stimuli/feedback_inc_left.png,0,1,1,4,,,,,None,0,,25.004779100010637,None,26.704788399976678,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
central,congruent,Stimuli/congruent_left.png,0,-100,0.0,0.0,None,None,left,Stimuli/feedback_con_left.png,0,2,2,3,,,,,None,0,,29.871454900014214,None,31.57147199998144,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
double,neutral,Stimuli/neutral_left.png,0,-100,0.0,-100.0,0.0,100.0,left,Stimuli/feedback_neutral_left.png,0,3,3,19,,,,,None,0,,34.688176100025885,None,36.388243999972474,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
none,neutral,Stimuli/neutral_right.png,0,100,None,None,None,None,right,Stimuli/feedback_neutral_right.png,0,4,4,12,,,,,None,0,,39.67152700002771,None,41.37151560001075,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
none,incogruent,Stimuli/incogruent_right.png,0,100,None,None,None,None,right,Stimuli/feedback_inc_right.png,0,5,5,17,,,,,None,0,,44.52156459999969,None,46.221575999981724,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
none,incogruent,Stimuli/incogruent_left.png,0,100,None,None,None,None,left,Stimuli/feedback_inc_left.png,0,6,6,16,,,,,None,0,,49.38827559998026,None,51.088245999999344,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
central,incogruent,Stimuli/incogruent_right.png,0,-100,0.0,0.0,None,None,right,Stimuli/feedback_inc_right.png,0,7,7,5,,,,,None,0,,54.20492859999649,None,55.90495140000712,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,incogruent,Stimuli/incogruent_right.png,0,100,0.0,100.0,None,None,right,Stimuli/feedback_inc_right.png,0,8,8,10,,,,,None,0,,59.15499660000205,None,60.85499309998704,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
none,congruent,Stimuli/congruent_left.png,0,-100,None,None,None,None,left,Stimuli/feedback_con_left.png,0,9,9,15,,,,,None,0,,64.08831999998074,None,65.78839649999281,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,neutral,Stimuli/neutral_left.png,0,-100,0.0,-100.0,None,None,left,Stimuli/feedback_neutral_left.png,0,10,10,7,,,,,None,0,,68.9383617999847,None,70.63837120000971,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
none,neutral,Stimuli/neutral_right.png,0,100,None,None,None,None,right,Stimuli/feedback_neutral_right.png,0,11,11,13,,,,,None,0,,73.95503369998187,None,75.65512080001645,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
double,congruent,Stimuli/congruent_right.png,0,-100,0.0,-100.0,0.0,100.0,right,Stimuli/feedback_con_right.png,0,12,12,21,,,,,None,0,,78.77178100001765,None,80.47176759998547,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
double,neutral,Stimuli/neutral_right.png,0,-100,0.0,-100.0,0.0,100.0,right,Stimuli/feedback_neutral_right.png,0,13,13,18,,,,,None,0,,83.7551370000001,None,85.45512649999,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,congruent,Stimuli/congruent_right.png,0,-100,0.0,-100.0,None,None,right,Stimuli/feedback_con_right.png,0,14,14,9,,,,,None,0,,88.63847970002098,None,90.3385007000179,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
central,congruent,Stimuli/congruent_left.png,0,-100,0.0,0.0,None,None,left,Stimuli/feedback_con_left.png,0,15,15,2,,,,,None,0,,93.6884616999887,None,95.38855229999172,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
central,neutral,Stimuli/neutral_right.png,0,100,0.0,0.0,None,None,right,Stimuli/feedback_neutral_right.png,0,16,16,0,,,,,None,0,,98.83856200001901,None,100.53855200001271,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,congruent,Stimuli/congruent_left.png,0,100,0.0,100.0,None,None,left,Stimuli/feedback_con_left.png,0,17,17,8,,,,,None,0,,103.70529970002826,None,105.40523989999201,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
none,congruent,Stimuli/congruent_left.png,0,-100,None,None,None,None,left,Stimuli/feedback_con_left.png,0,18,18,14,,,,,None,0,,108.4886061999714,None,110.18860729999142,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
central,neutral,Stimuli/neutral_right.png,0,100,0.0,0.0,None,None,right,Stimuli/feedback_neutral_right.png,0,19,19,1,,,,,None,0,,113.27196009998443,None,114.97194820002187,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
double,congruent,Stimuli/congruent_left.png,0,100,0.0,100.0,0.0,-100.0,left,Stimuli/feedback_con_left.png,0,20,20,20,,,,,None,0,,118.17197770002531,None,119.87200849998044,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,neutral,Stimuli/neutral_right.png,0,-100,0.0,-100.0,None,None,right,Stimuli/feedback_neutral_right.png,0,21,21,6,,,,,right,1,0.28268750000279397,123.10533829999622,None,123.40533270000014,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,incogruent,Stimuli/incogruent_right.png,0,100,0.0,100.0,None,None,right,Stimuli/feedback_inc_right.png,0,22,22,11,,,,,right,1,0.417552099970635,126.53867450001417,None,126.97202809998998,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
double,incogruent,Stimuli/incogruent_right.png,0,100,0.0,100.0,0.0,-100.0,right,Stimuli/feedback_inc_right.png,0,23,23,22,,,,,right,1,0.34745369997108355,130.08871919999365,None,130.45540400000755,None,,,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,congruent,Stimuli/congruent_right.png,0,100,0.0,100.0,None,None,right,Stimuli/feedback_con_right.png,,,,,0,0,0,54,right,1,0.4582042000256479,136.5221022000187,None,137.0054146000184,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
none,neutral,Stimuli/neutral_left.png,0,-100,None,None,None,None,left,Stimuli/feedback_neutral_left.png,,,,,0,1,1,83,right,0,0.4562191999866627,140.17211579997092,None,140.6554693999933,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,neutral,Stimuli/neutral_right.png,0,100,0.0,100.0,None,None,right,Stimuli/feedback_neutral_right.png,,,,,0,2,2,38,right,1,0.35390129999723285,143.73881690000417,None,144.12220260000322,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
none,neutral,Stimuli/neutral_right.png,0,-100,None,None,None,None,right,Stimuli/feedback_neutral_right.png,,,,,0,3,3,75,right,1,0.4114444000297226,147.28882620000513,None,147.7221568999812,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
none,incogruent,Stimuli/incogruent_left.png,0,-100,None,None,None,None,left,Stimuli/feedback_inc_left.png,,,,,0,4,4,100,left,1,0.9832625999697484,150.78885459998855,None,151.78885170002468,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
spatial,neutral,Stimuli/neutral_left.png,0,-100,0.0,-100.0,None,None,left,Stimuli/feedback_neutral_left.png,,,,,0,5,5,47,left,1,0.40291040000738576,155.10551189997932,None,155.53892030002316,None,None,None,20,2022_Feb_21_1725,childANT,2020.1.3,60.00960153250962,
