Cue,Target_side,Stimulus,Stimulus_X,Stimulus_Y,Cue_X,Cue_Y,Cue2_X,Cue2_Y,correctAns,feedback,Practise_loop.thisRepN,Practise_loop.thisTrialN,Practise_loop.thisN,Practise_loop.thisIndex,Main_loop.thisRepN,Main_loop.thisTrialN,Main_loop.thisN,Main_loop.thisIndex,response.keys,response.corr,response.rt,response.started,response.stopped,feedback_image.started,feedback_image.stopped,text.started,text.stopped,participant
double,neutral,Stimuli/neutral_right.png,0,-100,0,-100,0,100,right,Stimuli/feedback_neutral_right.png,0,0,0,18,,,,,right,1,0.4935919,45.4425131,None,46.0008629,None,,,999
double,incogruent,Stimuli/incogruent_left.png,0,100,0,100,0,-100,left,Stimuli/feedback_inc_left.png,0,1,1,23,,,,,left,1,0.5183374,49.2342861,None,49.8008864,None,,,999
double,incogruent,Stimuli/incogruent_right.png,0,100,0,100,0,-100,right,Stimuli/feedback_inc_right.png,0,2,2,22,,,,,right,1,0.4194225,53.1008483,None,53.5676419,None,,,999
none,congruent,Stimuli/congruent_left.png,0,-100,None,None,None,None,left,Stimuli/feedback_con_left.png,0,3,3,15,,,,,left,1,0.683263,56.7648079,None,57.5009852,None,,,999
none,congruent,Stimuli/congruent_left.png,0,-100,None,None,None,None,left,Stimuli/feedback_con_left.png,0,4,4,14,,,,,left,1,0.6591033,60.7654077,None,61.4676735,None,,,999
spatial,neutral,Stimuli/neutral_left.png,0,-100,0,-100,None,None,left,Stimuli/feedback_neutral_left.png,0,5,5,7,,,,,left,1,0.3685356,64.7676427,None,65.2106794,None,,,999
double,congruent,Stimuli/congruent_right.png,0,-100,0,-100,0,100,right,Stimuli/feedback_con_right.png,0,6,6,21,,,,,right,1,0.3870722,68.3010057,None,68.7509344,None,,,999
central,incogruent,Stimuli/incogruent_right.png,0,-100,0,0,None,None,right,Stimuli/feedback_inc_right.png,0,7,7,5,,,,,right,1,0.4478426,72.2722166,None,72.7719969,None,,,999
spatial,incogruent,Stimuli/incogruent_right.png,0,100,0,100,None,None,right,Stimuli/feedback_inc_right.png,0,8,8,10,,,,,right,1,0.5803636,75.9721348,None,76.6051393,None,,,999
double,neutral,Stimuli/neutral_left.png,0,-100,0,-100,0,100,left,Stimuli/feedback_neutral_left.png,0,9,9,19,,,,,left,1,0.5993318,79.8087504,None,80.4717943,None,,,999
none,incogruent,Stimuli/incogruent_left.png,0,100,None,None,None,None,left,Stimuli/feedback_inc_left.png,0,10,10,16,,,,,left,1,0.6656738,83.638436,None,84.3509684,None,,,999
central,congruent,Stimuli/congruent_left.png,0,-100,0,0,None,None,left,Stimuli/feedback_con_left.png,0,11,11,2,,,,,left,1,0.9506189,87.7055612,None,88.7056865,None,,,999
central,incogruent,Stimuli/incogruent_left.png,0,100,0,0,None,None,left,Stimuli/feedback_inc_left.png,0,12,12,4,,,,,left,1,0.4930422,92.1388834,None,92.6723924,None,,,999
none,neutral,Stimuli/neutral_right.png,0,100,None,None,None,None,right,Stimuli/feedback_neutral_right.png,0,13,13,13,,,,,right,1,0.4382933,95.9055338,None,96.4056108,None,,,999
spatial,neutral,Stimuli/neutral_right.png,0,-100,0,-100,None,None,right,Stimuli/feedback_neutral_right.png,0,14,14,6,,,,,right,1,0.4543777,99.8418499,None,100.3388489,None,,,999
none,neutral,Stimuli/neutral_right.png,0,100,None,None,None,None,right,Stimuli/feedback_neutral_right.png,0,15,15,12,,,,,right,1,0.5148738,103.605442,None,104.1719215,None,,,999
spatial,congruent,Stimuli/congruent_right.png,0,-100,0,-100,None,None,right,Stimuli/feedback_con_right.png,0,16,16,9,,,,,right,1,0.3428072,107.5052457,None,107.9175973,None,,,999
central,neutral,Stimuli/neutral_right.png,0,100,0,0,None,None,right,Stimuli/feedback_neutral_right.png,0,17,17,0,,,,,right,1,0.4709176,111.3136111,None,111.8440789,None,,,999
central,neutral,Stimuli/neutral_right.png,0,100,0,0,None,None,right,Stimuli/feedback_neutral_right.png,0,18,18,1,,,,,right,1,0.401073,115.3108713,None,115.7772647,None,,,999
central,congruent,Stimuli/congruent_left.png,0,-100,0,0,None,None,left,Stimuli/feedback_con_left.png,0,19,19,3,,,,,left,1,0.5397705,118.8442163,None,119.4343216,None,,,999
spatial,congruent,Stimuli/congruent_left.png,0,100,0,100,None,None,left,Stimuli/feedback_con_left.png,0,20,20,8,,,,,left,1,0.5166145,122.6514993,None,123.2184284,None,,,999
none,incogruent,Stimuli/incogruent_right.png,0,100,None,None,None,None,right,Stimuli/feedback_inc_right.png,0,21,21,17,,,,,right,1,0.4451192,126.4515474,None,126.9517178,None,,,999
spatial,incogruent,Stimuli/incogruent_right.png,0,100,0,100,None,None,right,Stimuli/feedback_inc_right.png,0,22,22,11,,,,,right,1,0.3857734,130.2224284,None,130.6517068,None,,,999
double,congruent,Stimuli/congruent_left.png,0,100,0,100,0,-100,left,Stimuli/feedback_con_left.png,0,23,23,20,,,,,left,1,0.3788147,133.6850302,None,134.1183417,None,,,999
spatial,congruent,Stimuli/congruent_right.png,0,100,0,100,None,None,right,Stimuli/feedback_con_right.png,,,,,0,0,0,55,right,1,0.5322134,147.7167872,None,148.2844272,None,None,None,999
central,incogruent,Stimuli/incogruent_left.png,0,-100,0,0,None,None,left,Stimuli/feedback_inc_left.png,,,,,0,1,1,28,left,1,0.6276345,151.7165176,None,152.3843989,None,None,None,999
double,incogruent,Stimuli/incogruent_right.png,0,-100,0,-100,0,100,right,Stimuli/feedback_inc_right.png,,,,,0,2,2,141,right,1,0.4528151,155.6830521,None,156.1844002,None,None,None,999
double,congruent,Stimuli/congruent_right.png,0,-100,0,-100,0,100,right,Stimuli/feedback_con_right.png,,,,,0,3,3,130,right,1,0.494887,159.5208187,None,160.0676387,None,None,None,999
double,congruent,Stimuli/congruent_left.png,0,100,0,100,0,-100,left,Stimuli/feedback_con_left.png,,,,,0,4,4,120,left,1,0.5690647,163.5188623,None,164.1677261,None,None,None,999
central,incogruent,Stimuli/incogruent_right.png,0,-100,0,0,None,None,right,Stimuli/feedback_inc_right.png,,,,,0,5,5,35,right,1,0.6200138,167.5555997,None,168.2216543,None,None,None,999
none,incogruent,Stimuli/incogruent_right.png,0,100,None,None,None,None,right,Stimuli/feedback_inc_right.png,,,,,0,6,6,102,right,1,0.8938003,171.5222106,None,172.454986,None,None,None,999
spatial,congruent,Stimuli/congruent_left.png,0,-100,0,-100,None,None,left,Stimuli/feedback_con_left.png,,,,,0,7,7,51,left,1,0.8659589,175.6217743,None,176.5218765,None,None,None,999
spatial,neutral,Stimuli/neutral_right.png,0,100,0,100,None,None,right,Stimuli/feedback_neutral_right.png,,,,,0,8,8,37,right,1,0.3477795,179.6599411,None,180.0549056,None,None,None,999
central,incogruent,Stimuli/incogruent_left.png,0,100,0,0,None,None,left,Stimuli/feedback_inc_left.png,,,,,0,9,9,25,left,1,1.1675009,183.401092,None,184.6344363,None,None,None,999
none,congruent,Stimuli/congruent_left.png,0,-100,None,None,None,None,left,Stimuli/feedback_con_left.png,,,,,0,10,10,89,left,1,0.7308221,187.789035,None,188.5549735,None,None,None,999
central,congruent,Stimuli/congruent_left.png,0,-100,0,0,None,None,left,Stimuli/feedback_con_left.png,,,,,0,11,11,17,left,1,0.4999401,191.7881226,None,192.3217744,None,None,None,999
central,neutral,Stimuli/neutral_left.png,0,100,0,0,None,None,left,Stimuli/feedback_neutral_left.png,,,,,0,12,12,8,left,1,0.5524983,195.4556318,None,196.0549094,None,None,None,999
none,incogruent,Stimuli/incogruent_right.png,0,100,None,None,None,None,right,Stimuli/feedback_inc_right.png,,,,,0,13,13,103,right,1,0.6755241,199.1883568,None,199.9344761,None,None,None,999
spatial,incogruent,Stimuli/incogruent_left.png,0,-100,0,-100,None,None,left,Stimuli/feedback_inc_left.png,,,,,0,14,14,63,left,1,0.7637213,203.1240888,None,203.9220011,None,None,None,999
double,congruent,Stimuli/congruent_right.png,0,100,0,100,0,-100,right,Stimuli/feedback_con_right.png,,,,,0,15,15,128,right,1,0.4993088,207.1885606,None,207.7219572,None,None,None,999
spatial,neutral,Stimuli/neutral_right.png,0,100,0,100,None,None,right,Stimuli/feedback_neutral_right.png,,,,,0,16,16,38,right,1,0.3824539,210.921853,None,211.355308,None,None,None,999
none,congruent,Stimuli/congruent_left.png,0,100,None,None,None,None,left,Stimuli/feedback_con_left.png,,,,,0,17,17,85,left,1,0.5520378,214.6883033,None,215.3010718,None,None,None,999
double,congruent,Stimuli/congruent_right.png,0,-100,0,-100,0,100,right,Stimuli/feedback_con_right.png,,,,,0,18,18,131,right,1,0.3392823,218.4931973,None,218.8928166,None,None,None,999
none,incogruent,Stimuli/incogruent_left.png,0,100,None,None,None,None,left,Stimuli/feedback_inc_left.png,,,,,0,19,19,96,left,1,0.4700752,222.2265782,None,222.7597417,None,None,None,999
none,incogruent,Stimuli/incogruent_left.png,0,100,None,None,None,None,left,Stimuli/feedback_inc_left.png,,,,,0,20,20,97,left,1,0.6228941,225.9932019,None,226.6594381,None,None,None,999
spatial,neutral,Stimuli/neutral_left.png,0,-100,0,-100,None,None,left,Stimuli/feedback_neutral_left.png,,,,,0,21,21,46,left,1,0.4525784,229.8597316,None,230.3678494,None,None,None,999
